Country,Rank Overall,Overall Score,Electoral process and pluralism,Functioning of government,"Politica ,participation",Political culture,Civil liberties
Namibia,73,6.24,5.67,5,6.67,5.63,8.24
Macedonia,74,6.16,7.75,4.64,6.11,4.38,7.94
Senegal,75,6.15,7.92,5.71,4.44,5.63,7.06
Guyana,76,6.05,7.92,5.36,5.56,4.38,7.06
Malawi,77,6,7,5,5.56,6.25,6.18
Georgia,78,5.95,8.67,4.64,5.56,5,5.88
Montenegro,79,5.94,7.92,5.36,5,4.38,7.06
Singapore,80,5.92,4.33,7.14,3.89,6.88,7.35
Mali,81,5.9,7.83,3.93,5,6.25,6.47
Benin,82,5.87,7.33,6.07,4.44,5.63,5.88
Ecuador,82,5.87,8.25,4.64,5,4.38,7.06
Bangladesh,84,5.86,7.42,5.43,5,4.38,7.06
Honduras,85,5.84,8.75,5.71,3.89,4.38,6.47
Ukraine,85,5.84,7.92,4.29,5.56,4.38,7.06
Guatemala,87,5.81,7.92,6.07,3.33,4.38,7.35
Bolivia,88,5.79,7,5,5.56,3.75,7.65
Tanzania,89,5.77,7.42,4.64,5.56,5.63,5.59
Tunisia,90,5.76,6.17,5,6.67,6.25,4.71
Sri Lanka,91,5.69,6.17,5.36,4.44,6.88,5.59
Albania,92,5.67,7,4,5,5,7.35
Turkey,93,5.63,7.92,6.43,5,5,3.82
Nicaragua,94,5.46,6.17,4,4.44,5.63,7.06
Uganda,95,5.22,5.67,3.57,4.44,6.25,6.18
Kenya,96,5.13,4.33,4.29,6.11,5.63,5.29
Venezuela,97,5.07,5.25,4.29,5.56,4.38,5.88
Lebanon,98,5.05,5.67,1.79,7.22,5,5.59
Bosnia and Hercegovina,99,5.02,6.5,2.93,3.33,5,7.35
Liberia,100,4.95,7.83,0.79,5.56,5,5.59
Bhutan,101,4.82,7.5,5.36,3.33,4.38,3.53
Libya,101,4.82,4.33,4.64,3.89,5.63,5.59
Palestine,103,4.8,5.17,2.86,7.78,4.38,3.82
Nepal,104,4.77,3.92,4.29,4.44,5.63,5.59
Mozambique,104,4.77,4.42,3.57,6.11,5.63,4.12
Kyrgyz Republic,106,4.69,6.58,2.21,5,4.38,5.29
Pakistan,107,4.64,6,5.36,2.78,3.75,5.29
Sierra Leone,107,4.64,7,1.86,2.78,6.25,5.29
Cambodia,109,4.6,4.42,6.07,2.78,5.63,4.12
Madagascar,110,4.32,3.83,2.14,5,5.63,5
Mauritania,111,4.17,3.42,4.29,5,3.13,5
Burkina Faso,112,4.15,4.42,3.57,3.33,5,4.41
Iraq,113,4.1,4.33,0.79,7.22,3.75,4.41
Niger,114,4.08,7.08,1.14,2.78,4.38,5
Morocco,115,4.07,3.5,4.64,2.78,5,4.41
Armenia,116,4.02,4.33,2.86,3.89,3.13,5.88
Haiti,117,3.94,4.75,2.21,2.22,3.75,6.76
Ethiopia,118,3.83,0,3.57,5.56,5.63,4.41
Algeria,118,3.83,3,2.21,3.89,5.63,4.41
Kuwait,120,3.78,3.17,3.93,3.89,4.38,3.53
Nigeria,121,3.77,5.67,3.21,3.33,3.13,3.53
Jordan,122,3.76,3.17,3.93,4.44,3.75,3.53
Gabon,122,3.76,3,2.21,4.44,5,4.12
Fiji,124,3.61,0.42,2.86,3.89,5,5.88
Russia,125,3.59,3.5,2.86,5,2.5,4.12
Cuba,126,3.52,1.75,4.64,3.89,4.38,2.94
Comoros,126,3.52,3.92,2.21,3.89,3.75,3.82
Togo,128,3.45,4,0.79,3.33,5,4.12
Burundi,129,3.41,3,2.21,3.89,5,2.94
Cameroon,129,3.41,0.75,3.57,3.89,5,3.82
Rwanda,131,3.38,0.83,5,2.22,5,3.82
Angola,132,3.35,0.92,3.21,5,4.38,3.24
Gambia,133,3.31,2.17,3.93,2.22,5,3.24
Vietnam,134,3.29,0,3.93,3.89,6.88,1.76
Egypt,135,3.27,2.17,2.5,5,3.75,2.94
Oman,136,3.26,0,3.93,3.89,4.38,4.12
Côte d’Ivoire,137,3.25,0,1.79,5,5.63,3.82
Swaziland,138,3.2,0.92,2.86,2.78,5.63,3.82
Qatar,139,3.18,0,3.93,2.22,5.63,4.12
Azerbaijan,140,3.06,1.75,1.79,3.33,3.75,4.71
Kazakhstan,140,3.06,0.5,2.14,3.89,4.38,4.41
Belarus,142,3.04,1.75,2.86,3.89,4.38,2.35
China,143,3,0,4.64,3.89,5,1.47
Djibouti,144,2.96,0.83,1.79,3.33,5.63,3.24
Congo (Brazzaville),145,2.89,1.25,2.86,3.33,3.75,3.24
Bahrain,146,2.87,1.25,3.57,2.78,4.38,2.35
Guinea,147,2.84,3.5,0.43,3.89,3.75,2.65
Yemen,148,2.79,1.33,1.43,5,5,1.18
Myanmar,149,2.76,1.5,2.14,2.78,5.63,1.76
Zimbabwe,150,2.67,0.5,1.29,3.33,5,3.24
Sudan,151,2.54,0,1.79,4.44,5,1.47
United Arab Emirates,152,2.52,0,3.57,1.11,5,2.94
Tajikistan,153,2.51,1.83,0.79,2.22,6.25,1.47
Afghanistan,154,2.48,2.5,0.79,2.78,2.5,3.82
Eritrea,155,2.4,0,2.86,1.11,6.88,1.18
Laos,156,2.21,0,3.21,1.67,5,1.18
Iran,157,1.98,0,2.86,2.78,2.5,1.76
Syria,158,1.86,0,0.36,3.33,5.63,0
Democratic Republic of Congo,159,1.83,1.33,0.71,2.22,3.13,1.76
Saudi Arabia,160,1.82,0,2.86,1.67,3.13,1.47
Equatorial Guinea,161,1.77,0,0.79,2.22,4.38,1.47
Uzbekistan,162,1.72,0.08,0.79,2.78,4.38,0.59
Turkmenistan,162,1.72,0,0.79,2.22,5,0.59
Chad,164,1.5,0,0,1.11,3.75,2.65
Central African Republic,165,1.49,0.92,0,1.67,2.5,2.35
Guinea-Bissau,166,1.26,0.42,0,1.67,1.88,2.35
North Korea,167,1.08,0,2.5,1.67,1.25,0
