"Country","Rank","Overall Score","Electoral process and pluralism","Functioning of government","Political participation","Political culture","Civil liberties"
China,=136,3.14,0.00,4.64,3.33,6.25,1.47
Swaziland,138,3.09,0.92,2.86,2.22,5.63,3.82
Rwanda,139,3.07,0.83,5.00,2.22,4.38,2.94
Kazakhstan,140,3.06,0.50,2.14,4.44,4.38,3.82
Zimbabwe,141,3.05,0.50,2.00,3.89,5.63,3.24
Oman,142,3.04,0.00,3.93,2.78,4.38,4.12
Gambia,143,2.97,1.33,3.93,2.22,5.00,2.35
Congo (Brazzaville),144,2.91,1.67,2.86,3.33,3.75,2.94
Djibouti,145,2.90,0.42,2.50,3.33,5.63,2.65
Bahrain,146,2.79,1.25,3.21,2.78,4.38,2.35
Afghanistan,147,2.77,2.50,1.14,3.89,2.50,3.82
United Arab Emirates,148,2.75,0.00,3.57,2.22,5.00,2.94
Azerbaijan,149,2.71,0.50,2.14,3.33,3.75,3.82
Burundi,150,2.49,0.50,0.43,3.89,5.00,2.65
Sudan,=151,2.37,0.00,1.79,3.89,5.00,1.18
Eritrea,=151,2.37,0.00,2.14,1.67,6.88,1.18
Libya,153,2.25,1.00,0.00,1.67,5.63,2.94
Yemen,154,2.24,0.50,0.36,4.44,5.00,0.88
Laos,155,2.21,0.00,3.21,1.67,5.00,1.18
Iran,156,2.16,0.00,2.86,3.33,3.13,1.47
Democratic Republic of the Congo,157,2.11,0.92,0.71,2.78,4.38,1.76
Uzbekistan,=158,1.95,0.08,1.86,2.22,5.00,0.59
Tajikistan,=158,1.95,0.58,0.07,1.67,6.25,1.18
Guinea-Bissau,=160,1.93,1.67,0.00,2.78,3.13,2.06
Saudi Arabia,=160,1.93,0.00,2.86,2.22,3.13,1.47
Turkmenistan,162,1.83,0.00,0.79,2.78,5.00,0.59
Equatorial Guinea,163,1.77,0.00,0.79,2.22,4.38,1.47
Central African Republic,164,1.57,1.33,0.00,1.67,2.50,2.35
Chad,165,1.50,0.00,0.00,1.11,3.75,2.65
Syria,166,1.43,0.00,0.00,2.78,4.38,0.00
North Korea,167,1.08,0.00,2.50,1.67,1.25,0.00
