"Country","Rank Overall","Overall Score","Electoral process and pluralism","Functioning of government","Political participation", "Political culture","Civil liberties"
El Salvador,=61,6.47,9.17,6.07,3.89,5.00,8.24
Peru,=61,6.47,9.17,5.00,5.56,4.38,8.24
Hong Kong,63,6.42,4.75,6.07,5.00,6.88,9.41
Malaysia,64,6.41,6.50,7.86,5.56,6.25,5.88
Mongolia,65,6.35,8.33,5.71,4.44,5.00,8.24
Serbia,66,6.33,9.17,4.64,6.11,4.38,7.35
Moldova,=67,6.32,8.75,5.00,5.56,4.38,7.94
Papua New Guinea,=67,6.32,7.33,6.43,3.33,6.25,8.24
Philippines,69,6.30,8.33,5.36,5.56,3.13,9.12
Zambia,=70,6.26,7.92,5.36,4.44,6.25,7.35
Paraguay,=70,6.26,8.33,5.36,5.00,4.38,8.24
Namibia,72,6.24,5.67,5.00,6.67,5.63,8.24
Macedonia,73,6.16,7.75,4.64,6.11,4.38,7.94
Senegal,74,6.09,7.92,5.71,4.44,5.63,6.76
Malawi,75,6.08,7.00,5.71,5.56,6.25,5.88
Montenegro,=76,6.05,7.92,5.36,5.56,4.38,7.06
Guyana,=76,6.05,7.92,5.36,5.56,4.38,7.06
Ghana,78,6.02,8.33,5.00,5.00,5.00,6.76
Benin,79,6.00,7.33,6.43,4.44,5.63,6.18
Ukraine,80,5.91,7.92,4.64,5.56,4.38,7.06
Guatemala,=81,5.88,7.92,6.43,3.33,4.38,7.35
Singapore,=81,5.88,4.33,7.50,3.33,6.88,7.35
Tanzania,=81,5.88,7.42,4.64,6.11,5.63,5.59
Bangladesh,84,5.86,7.42,5.43,5.00,4.38,7.06
Bolivia,=85,5.84,7.00,5.00,6.11,3.75,7.35
Honduras,=85,5.84,8.75,5.71,3.89,4.38,6.47
Ecuador,87,5.78,7.83,4.64,5.00,4.38,7.06
Turkey,88,5.76,7.92,6.79,5.00,5.00,4.12
Sri Lanka,89,5.75,6.17,5.36,4.44,6.88,5.88
Tunisia,=90,5.67,5.75,5.00,6.67,6.25,4.71
Albania,=90,5.67,7.00,4.00,5.00,5.00,7.35
Nicaragua,92,5.56,6.58,4.36,3.89,5.63,7.35
Georgia,93,5.53,8.25,3.21,5.00,5.00,6.18
Uganda,94,5.16,5.67,3.57,4.44,6.25,5.88
Libya,=95,5.15,4.33,5.71,3.89,6.25,5.59
Venezuela,=95,5.15,5.67,4.29,5.56,4.38,5.88
Mali,97,5.12,7.42,3.57,5.00,3.13,6.47
Bosnia and Hercegovina,98,5.11,6.92,2.93,3.33,5.00,7.35
Lebanon,99,5.05,5.67,1.79,7.22,5.00,5.59
Cambodia,100,4.96,5.67,6.07,3.33,5.63,4.12
Liberia,101,4.95,7.83,0.79,5.56,5.00,5.59
Mozambique,102,4.88,4.83,4.29,5.56,5.63,4.12
Palestine,103,4.80,5.17,2.86,7.78,4.38,3.82
Kenya,=104,4.71,3.92,4.29,4.44,5.63,5.29
Sierra Leone,=104,4.71,7.00,2.21,2.78,6.25,5.29
Kyrgyz Republic,106,4.69,6.58,2.21,5.00,4.38,5.29
Bhutan,107,4.65,6.67,5.36,3.33,4.38,3.53
Pakistan,108,4.57,5.58,5.36,2.22,4.38,5.29
Egypt,109,4.56,3.42,4.64,5.00,5.63,4.12
Mauritania,110,4.17,3.42,4.29,5.00,3.13,5.00
Nepal,=111,4.16,2.67,4.29,3.89,4.38,5.59
Niger,=111,4.16,7.50,1.14,2.78,4.38,5.00
Iraq,113,4.10,4.33,0.79,7.22,3.75,4.41
Armenia,114,4.09,4.33,3.21,3.89,3.13,5.88
Morocco,115,4.07,3.50,4.64,2.78,5.00,4.41
Haiti,116,3.96,5.17,2.21,2.22,3.75,6.47
Madagascar,117,3.93,2.17,2.14,5.00,5.63,4.71
Algeria,118,3.83,3.00,2.21,3.89,5.63,4.41
Kuwait,119,3.78,3.17,3.93,3.89,4.38,3.53
Nigeria,120,3.77,5.67,3.21,3.33,3.13,3.53
Jordan,121,3.76,3.17,3.93,4.44,3.75,3.53
Russia,122,3.74,3.92,2.86,5.00,2.50,4.41
Ethiopia,123,3.72,0.00,3.57,5.00,5.63,4.41
Fiji,124,3.67,0.42,2.86,3.89,5.00,6.18
Burundi,125,3.60,3.00,2.57,3.89,5.00,3.53
Gabon,126,3.56,2.58,2.21,3.89,5.00,4.12
Burkina Faso,=127,3.52,4.00,3.21,2.22,3.75,4.41
Cuba,=127,3.52,1.75,4.64,3.89,4.38,2.94
Comoros,=127,3.52,3.92,2.21,3.89,3.75,3.82
Togo,130,3.45,4.00,0.79,3.33,5.00,4.12
Cameroon,131,3.44,0.75,4.29,3.33,5.00,3.82
Rwanda,132,3.36,0.83,4.64,2.22,5.00,4.12
Angola,133,3.35,0.92,3.21,5.00,4.38,3.24
Gambia,134,3.31,2.17,3.93,2.22,5.00,3.24
Oman,135,3.26,0.00,3.93,3.89,4.38,4.12
Côte d’Ivoire,136,3.25,0.00,1.79,5.00,5.63,3.82
Swaziland,137,3.20,0.92,2.86,2.78,5.63,3.82
Qatar,138,3.18,0.00,3.93,2.22,5.63,4.12
United Arab Emirates,149,2.58,0.00,3.57,1.11,5.00,3.24
Bahrain,150,2.53,1.25,2.50,2.78,4.38,1.76
Tajikistan,151,2.51,1.83,0.79,2.22,6.25,1.47
Afghanistan,152,2.48,2.50,0.79,2.78,2.50,3.82
Eritrea,153,2.40,0.00,2.86,1.11,6.88,1.18
Sudan,154,2.38,0.00,1.79,3.33,5.00,1.76
Myanmar,155,2.35,1.50,1.79,1.67,5.63,1.18
Laos,156,2.32,0.00,3.21,2.22,5.00,1.18
Central African Republic,157,1.99,1.75,1.07,1.67,2.50,2.94
Iran,158,1.98,0.00,2.86,2.78,2.50,1.76
Democratic Republic of Congo,159,1.92,1.75,0.71,2.22,3.13,1.76
Equatorial Guinea,160,1.83,0.00,0.79,2.22,4.38,1.76
Uzbekistan,=161,1.72,0.08,0.79,2.78,4.38,0.59
Turkmenistan,=161,1.72,0.00,0.79,2.22,5.00,0.59
Saudi Arabia,163,1.71,0.00,2.86,1.11,3.13,1.47
Syria,164,1.63,0.00,0.36,2.78,5.00,0.00
Chad,165,1.62,0.00,0.00,1.11,3.75,3.24
Guinea-Bissau,166,1.43,0.42,0.00,2.22,1.88,2.65
North Korea,167,1.08,0.00,2.50,1.67,1.25,0.00
Azerbaijan,139,3.15,2.17,1.79,3.33,3.75,4.71
Yemen,140,3.12,3.00,1.43,5.00,5.00,1.18
Belarus,141,3.04,1.75,2.86,3.89,4.38,2.35
China,142,3.00,0.00,4.64,3.89,5.00,1.47
Kazakhstan,143,2.95,0.50,2.14,3.33,4.38,4.41
Vietnam,=144,2.89,0.00,3.93,2.78,6.25,1.47
Congo (Brazzaville),=144,2.89,1.25,2.86,3.33,3.75,3.24
Guinea,146,2.79,3.50,0.43,3.33,3.75,2.94
Djibouti,147,2.74,0.83,1.79,2.22,5.63,3.24
Zimbabwe,148,2.67,0.50,1.29,3.33,5.00,3.24
